"Git revsion of specification repo:","c1def241eef538f02034aafa23f95fb0489eb10f"
Nr,Name,"constants","deadlock","deferred_sets","definitions","dynamic_assertions","enumerated_sets","file","formalism","invariant-violated","invariants","number-of-states","number-of-transitions","operations","properties","sha256","static_assertions","variables"
48,"GardnerSwitchingPuzzle_v2.mch",2,false,0,1,0,2,"./prob-examples/TLC/GOAL/GardnerSwitchingPuzzle_v2.mch",b,false,3,211,510,2,2,"ca9687b08f310dc06eb61bfac165c202b033ea6ceac23b3f7afc8a675573da60",0,1
49,"BlocksWorld.mch",0,false,0,7,0,1,"./prob-examples/TLC/GOAL/BlocksWorld.mch",b,false,1,13,31,2,0,"e49da37ccbbbcdf8aded5856b5fd76452b03247fb4a8b2c55074ffd2bf49377e",0,1
50,"JavaBC0_TLC.mch",10,false,0,11,2,1,"./prob-examples/TLC/GOAL/JavaBC0_TLC.mch",b,false,4,53,362,15,21,"c3ffd4e9af7bba8a03fa707c2c3540aec7c87bd427c4bfe42f197246662cb975",1,4
51,"RushHour_TLC.mch",8,false,0,15,3,0,"./prob-examples/TLC/GOAL/RushHour_TLC.mch",b,false,2,4781,29890,4,17,"9baa0c492b6f44a32722db59ea9fb04e57487ba4516568e1f2ddc499071cc64e",0,2
52,"SimpleComm_mch.eventb",0,unknown,1,0,0,1,"./prob-examples/ASM/SBPM/SimpleComm_mch.eventb",eventb,unknown,2,unknown,unknown,3,1,"f7d0e514d40c7035fe7a326e3f514ca4767bdb7dda37973002b4c4e51ee683f7",0,2
53,"ProveCommutativityAxioms_DEF.mch",5,true,2,3,0,0,"./prob-examples/ASM/SBPM/ProveCommutativityAxioms_DEF.mch",b,false,0,126,126,0,3,"3b82e6f646979b75ec971581e9fa26967e797a3b7292fd8611ff87d4e0c49fad",5,0
54,"MovingParticlesOptimized_mch.eventb",3,false,0,0,2,0,"./prob-examples/ASM/MovingParticles_ABZ16/MovingParticlesOptimized_mch.eventb",eventb,false,4,46,244,2,3,"6d50d4c177f122423aef5bf21fd067516f2c43b5ccd1dfbc61e1de3cdde6298d",0,2
55,"MovingParticles_mch.eventb",3,false,0,0,0,0,"./prob-examples/ASM/MovingParticles_ABZ16/MovingParticles_mch.eventb",eventb,false,3,46,244,2,3,"5674de8e20eb0d8a737a2edfd3abeb24d8780921a7bda2962da0585ebb5e4edf",0,2
56,"ParIfIncDec_FourEvents_mch.eventb",0,false,0,0,0,0,"./prob-examples/ASM/MovingParticles_ABZ16/ParIfIncDec_FourEvents_mch.eventb",eventb,false,1,6,7,4,0,"125d33ed14163c43c593af950907af7aec4081510deddd0930a5ff9693cff1cd",0,1
57,"ParIfIncDecPaper_mch.eventb",0,false,0,0,0,0,"./prob-examples/ASM/MovingParticles_ABZ16/ParIfIncDecPaper_mch.eventb",eventb,false,1,6,7,1,0,"f168fbffa9cf63694a9e1b5fd648b2261a8904c067fb867e9175682423237292",0,1
58,"MovingParticles.mch",3,false,0,2,0,0,"./prob-examples/ASM/MovingParticles.mch",b,false,2,1,6,1,3,"7b99e9041a063e2b281be8753183ae3447a32772f16d3cde7edabcc59ab9f909",0,2
59,"Prove_simpler_ctx.eventb",5,true,2,0,0,0,"./prob-examples/ASM/Prove_simpler_ctx.eventb",eventb,false,0,6,6,0,7,"d7a75a7950d49ffa849ac60119e3f39924fd61d0d456555fdca2c007c314fed5",0,0
60,"ExtremaFinding_Undef.mch",4,false,0,8,0,2,"./prob-examples/ASM/TranslationToB/ExtremaFinding_Undef.mch",b,false,5,657,2675,2,7,"b44dcfbba395ad6022c039c8b7a70b1200844115ac88b8fed64eb6ab84af334b",0,5
